sale,profit
11,32
13,33
14,45
15,48
16,57
15,55
16,60
17,65
18,70
19,75
20,80
21,85
22,90
23,95
24,100
25,105
26,110
27,115
28,120
29,125
30,130
31,135
32,140
33,145
34,150
35,155
36,160
37,165
38,170
39,175
40,180
41,185
42,190
43,195
44,200
45,205
46,210
47,215
48,220
49,225
50,230
51,235
52,240
53,245
54,250
55,255
56,260
57,265
58,270
59,275
60,280
61,285
62,290
63,295
64,300
65,305
66,310
67,315
68,320
69,325
70,330
71,335
72,340
73,345
74,350
75,355
76,360
77,365
78,370
79,375
80,380
81,385
82,390
83,395
84,400
85,405
86,410
87,415
88,420
89,425
90,430
91,435
92,440
93,445
94,450
95,455
96,460
97,465
98,470
99,475
100,480
101,485
102,490
103,495
104,500
105,505
106,510
107,515
108,520
